Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
9420,Denver County 1,Kipp Northeast Elementary,Charter,Completed,Kindergarten,2018/2019,102,DTaP,0.882,0.980,0.000,0.010,0.000,0.010,0.000,0.000
9423,Kit Carson R-1,Kit Carson K-12 Schools,Regular,Completed,Kindergarten,2018/2019,10,DTaP,1.000,0.900,0.000,0.000,0.000,0.000,0.100,0.000
9424,Denver County 1,Knapp Elementary School,Regular,Completed,Kindergarten,2018/2019,77,DTaP,0.740,0.857,0.000,0.039,0.000,0.104,0.000,0.000
9426,Johnstown-milliken RE-5J,Knowledge Quest Academy,Charter,Completed,Kindergarten,2018/2019,43,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
9427,Boulder Valley RE 2,Kohl Elementary School,Regular,Completed,Kindergarten,2018/2019,58,DTaP,1.000,0.931,0.000,0.000,0.000,0.000,0.069,0.000
9429,Poudre R-1,Kruse Elementary School,Regular,Completed,Kindergarten,2018/2019,85,DTaP,1.000,0.953,0.000,0.000,0.000,0.000,0.035,0.012
9430,Jefferson County R-1,Kullerstrand Elementary School,Regular,Completed,Kindergarten,2018/2019,40,DTaP,0.975,0.950,0.000,0.000,0.000,0.000,0.050,0.000
9431,Denver County 1,Kunsmiller Creative Arts Academy,Regular,Completed,Kindergarten,2018/2019,37,DTaP,0.865,0.919,0.000,0.054,0.000,0.027,0.000,0.000
9432,Jefferson County R-1,Kyffin Elementary School,Regular,Completed,Kindergarten,2018/2019,77,DTaP,0.987,0.974,0.000,0.013,0.000,0.000,0.013,0.000
9434,North Conejos RE-1J,La Jara Elementary School,Regular,Completed,Kindergarten,2018/2019,34,DTaP,0.794,0.853,0.000,0.147,0.000,0.000,0.000,0.000
9437,East Otero R-1,La Junta Primary School,Regular,Completed,Kindergarten,2018/2019,104,DTaP,0.942,0.933,0.000,0.048,0.000,0.000,0.019,0.000
9438,La Veta RE-2,La Veta Elementary School,Regular,Completed,Kindergarten,2018/2019,16,DTaP,1.000,0.813,0.000,0.000,0.000,0.000,0.188,0.000
9440,Boulder Valley RE 2,Lafayette Elementary School,Regular,Completed,Kindergarten,2018/2019,59,DTaP,0.949,0.864,0.000,0.051,0.000,0.000,0.085,0.000
9441,Hinsdale County RE 1,Lake City Community School,Regular,Completed,Kindergarten,2018/2019,,DTaP,1.000,0.500,0.250,0.000,0.000,0.000,0.250,0.000
9444,Park County RE-2,Lake George Charter School,Charter,Completed,Kindergarten,2018/2019,20,DTaP,0.800,0.700,0.050,0.100,0.000,0.000,0.150,0.000
9449,School District 27J,Landmark Academy At Reunion,Charter,Completed,Kindergarten,2018/2019,86,DTaP,1.000,0.895,0.000,0.000,0.012,0.000,0.093,0.000
9450,Adams-Arapahoe 28J,Lansing Elementary Community School,Regular,Completed,Kindergarten,2018/2019,63,DTaP,0.905,0.952,0.000,0.016,0.000,0.016,0.016,0.000
9451,Adams-Arapahoe 28J,Laredo Elementary School,Regular,Completed,Kindergarten,2018/2019,74,DTaP,0.865,0.932,0.014,0.027,0.000,0.027,0.000,0.000
