Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
10953,Arapahoe County Child Care Facilities,Englewood Early Childhood Education Center At Maddox,Regular,Completed,Child Care/Preschool,2018/2019,217,DTaP,0.972,0.959,0.005,0.018,0.000,0.000,0.018,0.000
11508,Larimer County Child Care Facilities,St Lukes Episcopal Preschool,Regular,Completed,Child Care/Preschool,2018/2019,50,DTaP,0.880,0.900,0.020,0.000,0.000,0.000,0.080,0.000
11509,Douglas County Child Care Facilities,St Luke's Little School,Regular,Completed,Child Care/Preschool,2018/2019,228,DTaP,1.000,0.996,0.000,0.000,0.004,0.000,0.000,0.000
11511,Arapahoe County Child Care Facilities,St Mary Littleton Catholic School,Regular,Completed,Child Care/Preschool,2018/2019,53,DTaP,1.000,0.981,0.000,0.000,0.000,0.000,0.019,0.000
11512,Eagle County Child Care Facilities,St Marys Preschool,Regular,Completed,Child Care/Preschool,2018/2019,20,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11513,Arapahoe County Child Care Facilities,St Michael Archangel Preschool,Regular,Completed,Child Care/Preschool,2018/2019,105,DTaP,1.000,0.914,0.067,0.000,0.010,0.000,0.010,0.000
11515,Jefferson County Child Care Facilities,St Peter And Paul,Regular,Completed,Child Care/Preschool,2018/2019,38,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11516,Jefferson County Child Care Facilities,St Philip Early Learning Center,Regular,Completed,Child Care/Preschool,2018/2019,159,DTaP,1.000,0.981,0.013,0.000,0.000,0.000,0.006,0.000
11517,Arapahoe County Child Care Facilities,St Pius X Pre-kindergarten Program,Regular,Completed,Child Care/Preschool,2018/2019,34,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11519,Douglas County Child Care Facilities,St. Andrew Preschool,Regular,Completed,Child Care/Preschool,2018/2019,154,DTaP,0.916,0.948,0.000,0.006,0.000,0.000,0.039,0.006
11520,Jefferson County Child Care Facilities,St. Bernadette Catholic School,Regular,Completed,Child Care/Preschool,2018/2019,13,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
