Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
9419,Denver County 1,Kipp Northeast Denver Middle School,Charter,Completed,School,2018/2019,449,Varicella,0.759,0.949,0.000,0.022,0.002,0.024,0.002,0.000
9420,Denver County 1,Kipp Northeast Elementary,Charter,Completed,School,2018/2019,438,Varicella,0.929,0.943,0.000,0.041,0.000,0.016,0.000,0.000
9421,Denver County 1,Kipp Northeast Denver Leadership Academy,Charter,Completed,School,2018/2019,516,Varicella,0.760,0.835,0.000,0.087,0.002,0.076,0.000,0.000
9422,Denver County 1,Kipp Sunshine Peak Academy,Charter,Completed,School,2018/2019,422,Varicella,0.709,0.979,0.000,0.014,0.002,0.005,0.000,0.000
9423,Kit Carson R-1,Kit Carson K-12 Schools,Regular,Completed,School,2018/2019,104,Varicella,1.000,0.923,0.000,0.000,0.000,0.000,0.077,0.000
9424,Denver County 1,Knapp Elementary School,Regular,Completed,School,2018/2019,481,Varicella,0.867,0.902,0.000,0.073,0.000,0.025,0.000,0.000
9426,Johnstown-milliken RE-5J,Knowledge Quest Academy,Charter,Completed,School,2018/2019,396,Varicella,1.000,0.967,0.000,0.000,0.000,0.000,0.033,0.000
9427,Boulder Valley RE 2,Kohl Elementary School,Regular,Completed,School,2018/2019,399,Varicella,1.000,0.950,0.000,0.000,0.000,0.000,0.048,0.003
9429,Poudre R-1,Kruse Elementary School,Regular,Completed,School,2018/2019,472,Varicella,1.000,0.960,0.002,0.000,0.000,0.000,0.032,0.006
9430,Jefferson County R-1,Kullerstrand Elementary School,Regular,Completed,School,2018/2019,206,Varicella,0.976,0.922,0.000,0.000,0.000,0.005,0.073,0.000
9431,Denver County 1,Kunsmiller Creative Arts Academy,Regular,Completed,School,2018/2019,937,Varicella,0.805,0.899,0.000,0.081,0.006,0.014,0.000,0.000
9432,Jefferson County R-1,Kyffin Elementary School,Regular,Completed,School,2018/2019,451,Varicella,0.993,0.960,0.000,0.000,0.000,0.000,0.040,0.000
9434,North Conejos RE-1J,La Jara Elementary School,Regular,Completed,School,2018/2019,216,Varicella,0.931,0.917,0.000,0.056,0.009,0.000,0.019,0.000
9435,East Otero R-1,La Junta Intermediate School,Regular,Completed,School,2018/2019,454,Varicella,0.963,0.974,0.002,0.011,0.000,0.000,0.009,0.004
9436,East Otero R-1,La Junta Jr/sr High School,Regular,Completed,School,2018/2019,625,Varicella,0.966,0.984,0.000,0.011,0.000,0.003,0.002,0.000
9437,East Otero R-1,La Junta Primary School,Regular,Completed,School,2018/2019,332,Varicella,0.961,0.964,0.000,0.027,0.000,0.000,0.006,0.003
9438,La Veta RE-2,La Veta Elementary School,Regular,Completed,School,2018/2019,85,Varicella,1.000,0.906,0.000,0.000,0.000,0.000,0.094,0.000
9439,La Veta RE-2,La Veta Junior-senior High School,Regular,Completed,School,2018/2019,120,Varicella,1.000,0.900,0.000,0.000,0.000,0.000,0.100,0.000
9440,Boulder Valley RE 2,Lafayette Elementary School,Regular,Completed,School,2018/2019,430,Varicella,0.944,0.893,0.002,0.026,0.000,0.016,0.063,0.000
9441,Hinsdale County RE 1,Lake City Community School,Regular,Completed,School,2018/2019,69,Varicella,0.986,0.652,0.029,0.014,0.000,0.000,0.304,0.000
9442,Lake County R-1,Lake County High School,Regular,Completed,School,2018/2019,483,Varicella,0.867,0.896,0.000,0.017,0.000,0.060,0.025,0.002
9443,Lake County R-1,Lake County Intermediate School,Regular,Completed,School,2018/2019,301,Varicella,0.904,0.920,0.000,0.033,0.000,0.017,0.030,0.000
9444,Park County RE-2,Lake George Charter School,Charter,Completed,School,2018/2019,118,Varicella,0.856,0.771,0.000,0.059,0.000,0.008,0.161,0.000
