Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
9419,Denver County 1,Kipp Northeast Denver Middle School,Charter,Completed,School,2018/2019,374,Tdap,0.759,0.749,0.000,0.225,0.000,0.024,0.003,0.000
9421,Denver County 1,Kipp Northeast Denver Leadership Academy,Charter,Completed,School,2018/2019,516,Tdap,0.760,0.882,0.000,0.043,0.000,0.076,0.000,0.000
9422,Denver County 1,Kipp Sunshine Peak Academy,Charter,Completed,School,2018/2019,340,Tdap,0.709,0.703,0.000,0.291,0.000,0.006,0.000,0.000
9423,Kit Carson R-1,Kit Carson K-12 Schools,Regular,Completed,School,2018/2019,61,Tdap,1.000,0.902,0.000,0.000,0.000,0.000,0.098,0.000
9426,Johnstown-milliken RE-5J,Knowledge Quest Academy,Charter,Completed,School,2018/2019,125,Tdap,1.000,0.936,0.000,0.000,0.000,0.000,0.064,0.000
9431,Denver County 1,Kunsmiller Creative Arts Academy,Regular,Completed,School,2018/2019,620,Tdap,0.805,0.873,0.000,0.119,0.000,0.008,0.000,0.000
9435,East Otero R-1,La Junta Intermediate School,Regular,Completed,School,2018/2019,110,Tdap,0.963,0.855,0.018,0.118,0.000,0.000,0.009,0.000
9436,East Otero R-1,La Junta Jr/sr High School,Regular,Completed,School,2018/2019,625,Tdap,0.966,0.974,0.000,0.014,0.000,0.003,0.006,0.002
9439,La Veta RE-2,La Veta Junior-senior High School,Regular,Completed,School,2018/2019,120,Tdap,1.000,0.875,0.000,0.000,0.000,0.000,0.125,0.000
9441,Hinsdale County RE 1,Lake City Community School,Regular,Completed,School,2018/2019,35,Tdap,0.986,0.600,0.143,0.029,0.000,0.000,0.229,0.000
9442,Lake County R-1,Lake County High School,Regular,Completed,School,2018/2019,483,Tdap,0.867,0.867,0.000,0.046,0.000,0.060,0.025,0.002
9443,Lake County R-1,Lake County Intermediate School,Regular,Completed,School,2018/2019,78,Tdap,0.904,0.705,0.000,0.115,0.000,0.064,0.115,0.000
9444,Park County RE-2,Lake George Charter School,Charter,Completed,School,2018/2019,,Tdap,0.856,0.778,0.000,0.111,0.000,0.000,0.111,0.000
9445,Denver County 1,Lake International School,Regular,Completed,School,2018/2019,347,Tdap,0.706,0.761,0.000,0.219,0.000,0.020,0.000,0.000
9446,Jefferson County R-1,Lakewood High School,Regular,Completed,School,2018/2019,2063,Tdap,0.966,0.953,0.000,0.020,0.000,0.005,0.019,0.002
9447,Lamar RE-2,Lamar High School,Regular,Completed,School,2018/2019,435,Tdap,1.000,0.984,0.000,0.000,0.000,0.000,0.016,0.000
9448,Lamar RE-2,Lamar Middle School,Regular,Completed,School,2018/2019,319,Tdap,1.000,0.981,0.000,0.000,0.000,0.000,0.016,0.003
9449,School District 27J,Landmark Academy At Reunion,Charter,Completed,School,2018/2019,233,Tdap,0.995,0.936,0.000,0.013,0.004,0.000,0.047,0.000
9452,Cherry Creek 5,Laredo Middle School,Regular,Completed,School,2018/2019,1098,Tdap,0.872,0.937,0.000,0.024,0.002,0.007,0.028,0.002
9453,Douglas County RE 1,Larkspur Elementary School,Regular,Completed,School,2018/2019,40,Tdap,0.887,0.600,0.000,0.000,0.000,0.350,0.050,0.000
9454,Las Animas RE-1,Las Animas Elementary School,Regular,Completed,School,2018/2019,37,Tdap,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
9455,Las Animas RE-1,Las Animas High School,Regular,Completed,School,2018/2019,143,Tdap,1.000,0.972,0.000,0.000,0.000,0.000,0.028,0.000
9456,Las Animas RE-1,Las Animas Junior High School,Regular,Completed,School,2018/2019,70,Tdap,1.000,0.971,0.000,0.000,0.000,0.000,0.029,0.000
9457,Jefferson County R-1,Lasley Elementary School,Regular,Completed,School,2018/2019,72,Tdap,0.919,0.708,0.000,0.000,0.000,0.264,0.028,0.000
9458,Charter School Institute,Launch High School,Charter,Completed,School,2018/2019,96,Tdap,1.000,0.854,0.000,0.000,0.000,0.000,0.146,0.000
9463,Jefferson County R-1,Leawood Elementary School,Regular,Completed,School,2018/2019,48,Tdap,0.937,0.813,0.000,0.000,0.000,0.188,0.000,0.000
